game,net winnings,bet
907,2.0,52.0
908,9.0,160.0
909,14.0,48.0
910,7.5,48.0
911,2.0,47.0
912,-3.5,48.0
913,0.5,48.0
914,-5.5,49.0
915,-1.0,49.0
916,4.0,72.0
917,-2.5,46.0
918,6.5,50.0
919,7.5,144.0
920,-10.5,373.0
921,96.0,147.0
922,2.5,46.0
923,3.0,51.0
924,-7.0,48.0
925,17.5,90.0
926,0.0,50.0
927,-0.5,47.0
928,-7.0,50.0
929,6.5,45.0
930,-12.5,47.0
931,6.0,46.0
932,15.5,52.0
933,-230.5,543.0
934,27.5,105.0
935,2.0,49.0
936,57.5,391.0
937,-12.5,109.0
938,8.5,47.0
939,-12.0,54.0
940,3.0,48.0
941,2.5,51.0
942,6.0,48.0
943,5.5,46.0
944,5.5,47.0
945,19.5,66.0
946,37.0,123.0
947,4.5,88.0
948,-3.0,46.0
949,46.5,367.0
950,10.5,50.0
951,-2.5,48.0
952,-0.5,47.0
953,-6.5,47.0
954,1.5,47.0
955,9.0,50.0
956,-48.0,144.0
957,-14.5,164.0
958,2.5,46.0
959,4.0,47.0
960,-52.5,389.0
961,-2.5,47.0
962,-7.5,48.0
963,45.5,165.0
964,1.0,45.0
965,7.5,47.0
966,19.0,182.0
967,19.5,293.0
968,-35.5,279.0
969,47.0,220.0
970,-2.0,51.0
971,-3.0,45.0
972,5.5,49.0
973,2.0,47.0
974,47.0,107.0
975,-10.5,48.0
976,7.0,122.0
977,-61.0,201.0
978,-1.5,46.0
979,7.5,49.0
980,18.5,67.0
981,3.5,50.0
982,-4.0,47.0
983,-4.5,49.0
984,-0.5,48.0
985,-0.5,49.0
986,0.5,52.0
987,-47.0,258.0
988,42.5,85.0
989,6.0,49.0
990,-101.5,216.0
991,-93.5,313.0
992,-125.5,201.0
993,3.0,45.0
994,103.0,386.0
995,-2.0,143.0
996,-95.5,143.0
997,-10.0,46.0
998,-8.5,50.0
999,-11.5,45.0
1000,-8.0,46.0
1001,0.5,48.0
1002,-4.5,47.0
1003,-47.5,541.0
1004,-3.5,50.0
1005,7.0,47.0
1006,-2.0,50.0
1007,-1.0,164.0
1008,-79.0,163.0
1009,-1.0,47.0
1010,9.0,51.0
1011,7.5,50.0
1012,3.5,49.0
1013,-77.0,163.0
1014,-13.0,48.0
1015,-25.0,350.0
1016,7.5,50.0
1017,-31.5,504.0
1018,67.5,257.0
1019,14.0,46.0
1020,70.5,184.0
1021,7.5,49.0
1022,-7.0,51.0
1023,81.0,291.0
1024,26.0,237.0
1025,-26.0,65.0
1026,3.5,46.0
